Full Name,Gender,Date of Birth,University_Name,Current Academic Year,Cumulative Grade Point Average (GPA),Preferred Learning Style,Average Weekly Study Hours,Attendance Regularity,Parental Education Level,Monthly Household Income,Participation in Extracurricular Activities,Social Media Spending Time,Sleeping Hours
Megan Smith,Male,10/16/1996,University of Colombo,2nd,2.24,Auditory,19.03,5,Ph.D.,Medium,Yes,1.79,5.73
Brandon Mullins,Male,9/20/2017,Rajarata University,3rd,3.14,Kinesthetic,27.25,3,High School,High,No,1.56,4.04
Craig Brooks,Female,8/22/1923,University of Moratuwa,4th,3.28,Auditory,27.98,9,Master's,High,Yes,3.74,6.16
Julia Gardner,Female,11/13/2020,University of Colombo,4th,2.27,Visual,15.72,3,Master's,High,Yes,2.49,6.59
Jennifer Garcia,Male,3/9/1946,University of Peradeniya,2nd,3.43,Kinesthetic,5.02,4,Ph.D.,High,Yes,3.59,6.4
Nathaniel Edwards,Male,4/17/1973,University of Peradeniya,1st,2.63,Visual,25.54,7,Master's,Low,No,0.05,6.53
Richard Oneal,Male,2/20/1910,University of Kelaniya,1st,3.77,Kinesthetic,12.94,2,Master's,Low,No,2.37,4.6
Luis Yang,Male,1/18/2000,Rajarata University,3rd,3.01,Auditory,11.52,7,Master's,Low,Yes,3.42,5.93
Russell Sutton,Male,5/7/2016,Rajarata University,1st,2.24,Kinesthetic,16.66,1,Ph.D.,Low,No,2.3,7.75
Christopher Scott,Female,8/28/2017,Sabaragamuwa University,1st,3.96,Kinesthetic,12.87,2,Master's,High,Yes,4.1,8.98
Carol Bush,Female,11/11/1925,University of Colombo,1st,2.99,Kinesthetic,23.66,1,Bachelor's,Medium,No,0.5,7.12
Kristina Smith,Male,1/30/1924,University of Moratuwa,3rd,2.63,Kinesthetic,12.44,10,High School,High,No,0.66,8.66
Eric Mccoy,Female,6/7/1971,University of Jaffna,3rd,2.34,Visual,18.12,8,High School,High,No,3.72,8.11
David Reyes,Female,2/27/1955,Rajarata University,2nd,2.2,Kinesthetic,11.46,3,High School,Medium,Yes,0.1,4.58
Kristopher Castro,Male,1/24/1910,University of Kelaniya,4th,2.54,Visual,28.16,9,Bachelor's,Low,Yes,2.81,8.22
Jeffery Drake,Male,4/29/1941,University of Kelaniya,3rd,3.87,Visual,10.92,10,Ph.D.,Low,Yes,0.16,5.09
Tracy Morrison,Female,3/22/1998,University of Colombo,2nd,3.24,Visual,19.77,4,Ph.D.,High,Yes,1.37,9.08
Jose Kennedy,Male,7/18/1996,University of Colombo,1st,2.79,Auditory,12.02,9,Other,High,No,4.64,6.62
Nancy Gilmore,Female,5/31/1935,Eastern University,4th,2.19,Visual,23.63,3,Other,Medium,No,4.4,9.57
Dawn Nelson,Male,7/15/2014,Eastern University,3rd,3.38,Kinesthetic,9.2,2,Ph.D.,Medium,Yes,1.96,7.47
Shawn Mccullough,Female,7/14/1950,University of Colombo,3rd,2.17,Auditory,14.97,3,Master's,High,Yes,2.69,5.36
Alexander Wells,Female,3/3/1997,University of Ruhuna,1st,3.65,Auditory,15.35,2,Bachelor's,Medium,No,0.37,8.06
Michele Lowe,Male,8/10/1947,University of Peradeniya,3rd,3.16,Kinesthetic,10.42,1,Ph.D.,Medium,No,0.46,8.48
Brian Daniel,Male,4/21/2022,University of Peradeniya,4th,2.45,Auditory,27.35,2,Master's,Low,Yes,2.65,6.47
Catherine Velasquez,Male,5/2/1986,Sabaragamuwa University,2nd,2.28,Kinesthetic,7.39,6,Ph.D.,Medium,No,0.27,4.64
Lindsay Arnold,Male,12/4/1950,University of Moratuwa,1st,2.18,Auditory,29.11,2,High School,Medium,Yes,1.86,5.81
Jason Owens,Male,5/26/1915,University of Kelaniya,1st,2.66,Visual,18.06,1,Master's,Medium,No,1.72,6.5
Jessica Smith,Male,9/1/1929,University of Peradeniya,1st,2.96,Visual,22.86,7,Other,Medium,Yes,4.66,7.95
Andrea Braun,Male,10/5/2017,University of Ruhuna,4th,3.28,Kinesthetic,10.71,1,Other,Low,Yes,3.17,5.14
Michelle Steele,Male,8/11/1974,University of Colombo,4th,4,Kinesthetic,27,10,High School,High,Yes,4.32,6.72
Jennifer Ramirez,Male,9/2/2000,Rajarata University,3rd,3.58,Auditory,10.83,8,Bachelor's,Low,No,2.24,5.46
Alexander Woods,Female,7/30/1932,University of Ruhuna,1st,3.63,Auditory,11.98,9,Master's,High,No,2.78,7.95
Nancy Smith,Female,9/20/1968,Sabaragamuwa University,3rd,3.71,Auditory,22.51,5,Master's,High,Yes,0.23,6.37
Sandra Camacho,Female,7/11/1977,University of Ruhuna,2nd,3.32,Auditory,20.39,10,Bachelor's,Medium,No,3.63,8.03
Jennifer Padilla,Male,10/25/2016,Rajarata University,4th,2.18,Auditory,12.61,8,Other,Medium,No,2.04,7.97
Amy Williams,Male,7/16/1966,University of Jaffna,4th,2.59,Kinesthetic,6.99,1,High School,Medium,No,0.19,6.3
Mason James,Male,1/25/2015,Eastern University,2nd,3.31,Auditory,27.9,5,Ph.D.,Medium,No,2.66,9.09
Pam Wise,Female,11/11/1944,University of Jaffna,2nd,2.49,Kinesthetic,27.54,3,Master's,Medium,No,0.96,5.51
Wesley Spencer,Female,6/28/1975,University of Kelaniya,2nd,2.65,Visual,19.35,1,Bachelor's,High,No,2.79,4.03
Madison Nunez,Male,6/4/1980,University of Kelaniya,3rd,2.24,Kinesthetic,26.11,10,Other,High,Yes,3.3,4.08
Michael Reynolds,Female,1/14/1919,University of Peradeniya,3rd,3.31,Visual,20.43,8,Ph.D.,Low,Yes,1.44,7.81
Michelle Dickson,Male,2/2/1927,Rajarata University,4th,3.3,Visual,16.55,8,Other,High,No,3.01,8.32
Sandra Willis DDS,Male,7/9/1937,University of Kelaniya,2nd,3.38,Visual,16.77,7,Master's,Medium,No,1.92,8.29
Jacob Barnes,Male,4/26/1938,University of Peradeniya,1st,2.24,Kinesthetic,21.95,7,Master's,Medium,Yes,4.34,6.79
Maria Jackson,Male,5/6/1929,Sabaragamuwa University,3rd,3.72,Auditory,7.23,4,Ph.D.,Medium,Yes,1.56,8.01
Jeffrey Alexander,Male,6/13/1956,University of Peradeniya,2nd,2.94,Visual,14.24,2,Master's,High,No,0.53,7.88
Darrell Rivera,Male,3/11/1919,University of Jaffna,3rd,3.21,Auditory,20.44,1,High School,Medium,Yes,2.99,9.46
Mario Moore,Female,4/5/1925,University of Colombo,3rd,3.07,Visual,29.1,1,High School,High,No,1.31,7.52
Kathleen Jones,Male,2/23/2007,University of Moratuwa,1st,2.17,Visual,21.18,10,Master's,High,No,1.41,8.93
Tony Johnson,Male,9/10/1928,University of Jaffna,1st,2.81,Kinesthetic,7.93,5,Other,High,No,3.1,6.19
Cassidy Pena,Female,10/26/1959,University of Ruhuna,4th,2.04,Auditory,25.24,6,Ph.D.,High,No,3.61,6.07
Dr. Jessica Reynolds,Male,4/11/1917,University of Colombo,2nd,2.21,Auditory,5.58,4,Ph.D.,Low,Yes,2.48,6.25
Jeremiah Rubio,Female,4/19/2000,Eastern University,2nd,3.63,Auditory,7.02,2,Other,High,Yes,0.83,6.66
John Huang,Male,12/28/1938,University of Jaffna,4th,3.49,Auditory,7.61,10,Master's,Medium,Yes,0.84,4.52
Bruce Briggs,Male,9/27/1984,University of Jaffna,4th,3.68,Auditory,11.06,5,Other,Low,No,3.66,5.64
Robert Turner,Female,12/8/2002,University of Ruhuna,1st,2.21,Visual,29.2,3,Bachelor's,High,Yes,3.85,9.61
Robert Rivera,Female,12/2/1955,University of Moratuwa,1st,2.7,Kinesthetic,27.79,3,Ph.D.,High,No,0.99,9.07
Anthony Curtis,Female,11/24/1931,University of Ruhuna,2nd,3.6,Kinesthetic,21.83,4,Bachelor's,High,Yes,1.61,7.3
Colleen Fitzpatrick,Male,3/9/1926,University of Peradeniya,4th,2.42,Auditory,17.31,7,Master's,Low,No,2.08,5.51
Kimberly Harris,Male,3/22/1961,Eastern University,4th,2.23,Visual,16.12,6,Master's,High,No,2.7,6.85
Jessica Williams,Female,11/12/1976,University of Kelaniya,4th,2.87,Kinesthetic,25.02,4,Master's,Medium,Yes,4.46,6.15
Jackie Phillips,Female,4/28/1984,Sabaragamuwa University,2nd,2.89,Kinesthetic,18.52,3,Bachelor's,High,No,0.98,4.93
Andrew Williams,Female,12/10/1975,University of Kelaniya,1st,2.1,Visual,21.46,8,Other,High,Yes,3.03,4.17
Shawna Harrison,Female,3/22/1936,University of Moratuwa,1st,3.34,Auditory,24.63,2,Bachelor's,Low,Yes,0.95,8.05
Charles Meza,Male,1/28/1908,University of Moratuwa,1st,2.22,Kinesthetic,21.65,5,Bachelor's,Medium,Yes,1.88,6.29
Rebecca Jones,Female,9/22/1923,University of Ruhuna,2nd,3.85,Auditory,18.11,8,Master's,Medium,Yes,3.5,5.11
Richard Wilson,Female,1/22/1959,University of Peradeniya,3rd,3.88,Visual,26.18,3,High School,Low,No,0.56,5.79
Taylor Reynolds,Female,4/14/2020,Rajarata University,2nd,3.92,Auditory,9.14,6,Bachelor's,Low,No,1.73,6.72
Mitchell Griffin,Female,9/26/1973,University of Peradeniya,4th,3.35,Auditory,26.35,1,Bachelor's,Low,No,2.33,7.2
Stacy Fernandez,Female,7/19/2021,University of Moratuwa,3rd,3.8,Kinesthetic,6.46,8,High School,Medium,No,3.82,5.13
Jaime Atkinson,Female,6/16/2005,University of Moratuwa,2nd,3.12,Auditory,6.44,7,Other,Medium,Yes,2.01,7.82
Angela Hunter,Male,6/5/2023,University of Jaffna,2nd,2.27,Auditory,24.48,3,Other,Low,Yes,0.5,8.71
Shawn Wright,Male,6/18/1941,Rajarata University,3rd,2.05,Auditory,28.79,4,High School,High,No,3.25,7.17
Wendy Kemp,Male,12/2/1987,University of Moratuwa,3rd,2.52,Visual,8.52,4,Bachelor's,High,No,4.61,4.42
Erica Hale,Male,11/15/1957,Rajarata University,1st,2.7,Kinesthetic,12.99,3,Bachelor's,Medium,Yes,2.31,7.77
Susan Allen,Female,12/5/2008,Eastern University,3rd,3.9,Visual,12.47,8,Other,High,Yes,1.9,5.75
Brittany Sullivan,Female,1/14/1979,Sabaragamuwa University,1st,3.3,Auditory,25.39,6,Master's,Low,No,3.84,9.05
Helen Campbell,Male,10/2/1954,University of Ruhuna,3rd,2.06,Kinesthetic,6.3,1,Bachelor's,Low,Yes,3.23,6.74
James Smith,Female,4/22/2017,University of Moratuwa,3rd,2.05,Kinesthetic,21.03,10,Other,Low,Yes,2.06,4.36
Patrick Schwartz,Male,6/20/2005,Eastern University,1st,3.09,Kinesthetic,26.4,5,Ph.D.,Low,Yes,2.34,5.72
Breanna Wilson,Female,2/28/1965,University of Peradeniya,1st,3.26,Auditory,28.61,5,High School,Medium,Yes,4.29,9.31
John Martinez DVM,Female,3/19/1957,University of Ruhuna,4th,3.41,Kinesthetic,20.83,5,Master's,Low,No,1.92,7.86
Shelby Jackson,Female,9/3/1954,Rajarata University,3rd,2.38,Auditory,5.65,9,High School,Low,Yes,3.47,5.12
Robin Morris,Female,11/17/1954,University of Ruhuna,4th,3.53,Visual,29.93,4,High School,High,No,3.51,4.36
Mrs. Rebecca Thomas,Male,11/7/1943,University of Kelaniya,4th,2.29,Visual,11.8,2,High School,Medium,Yes,2.33,6.41
Collin Wilson,Female,4/22/1927,University of Jaffna,2nd,3.38,Visual,22.62,8,Bachelor's,Low,No,2.98,4.21
Dana Lloyd,Female,3/19/2004,Rajarata University,2nd,3.13,Kinesthetic,21.67,5,Bachelor's,Low,No,4.18,9.68
Tina Hampton,Male,1/10/1922,Eastern University,4th,2.41,Auditory,5.09,10,Other,Low,Yes,1.81,8.37
Kristin Johnson MD,Female,2/24/1980,University of Moratuwa,1st,2.91,Visual,27.09,4,Master's,Low,Yes,2.67,5.89
Vincent Fisher,Female,5/10/1926,Rajarata University,1st,2.75,Kinesthetic,26.64,7,High School,Low,No,4.04,6.76
Robert Gillespie,Female,7/24/2008,University of Colombo,2nd,3.28,Visual,15.41,1,Master's,Medium,Yes,3.65,8.65
William Sharp,Male,4/27/1934,University of Kelaniya,1st,3.41,Auditory,19.18,2,Bachelor's,Medium,No,2.59,6.72
Mariah Smith DDS,Female,6/24/1922,Eastern University,1st,2.1,Auditory,28.41,7,Other,Medium,Yes,3.69,8.66
William Frederick,Female,12/15/1909,University of Peradeniya,4th,4,Kinesthetic,27.45,2,High School,Medium,No,2.99,9.7
Michelle King,Male,11/3/2012,University of Colombo,4th,2.63,Auditory,25.36,7,High School,Medium,No,4.95,4.97
Samantha Walters,Male,5/19/1999,Rajarata University,1st,2.7,Kinesthetic,23.52,9,Other,High,No,2.18,4.44
Curtis Bradley,Female,4/9/1944,University of Jaffna,3rd,3.38,Kinesthetic,23.35,8,Master's,High,Yes,0.72,7.04
Jennifer Li,Female,3/4/2008,University of Colombo,3rd,2.93,Kinesthetic,26.54,7,High School,High,No,4.69,6.48
Deanna Johnson,Male,10/28/1966,University of Ruhuna,3rd,3.43,Auditory,18.02,4,High School,Medium,No,4.27,6.96
Erin Wu,Male,4/20/1933,Rajarata University,4th,3.76,Kinesthetic,23.76,1,Ph.D.,High,No,1.09,8.97
Joshua Gonzalez,Male,9/24/1973,Eastern University,1st,2.85,Kinesthetic,16.38,8,Ph.D.,High,No,3.44,9.11
Maria Mullins,Female,3/17/1911,Rajarata University,3rd,3.89,Kinesthetic,16.5,4,Master's,High,Yes,3.15,4.42
Jordan Payne,Male,8/4/1988,University of Jaffna,2nd,2.14,Kinesthetic,18.97,8,Other,Medium,No,2.63,7.47
Manuel Cook,Male,5/11/1939,Sabaragamuwa University,3rd,3.96,Visual,5.64,3,High School,High,Yes,2.76,5.2
Holly Wise,Male,4/3/1951,University of Ruhuna,2nd,2.93,Visual,21.47,3,Other,Low,No,4.09,8.24
Jack Castillo,Female,12/22/2007,University of Moratuwa,4th,3.62,Visual,11.58,6,Bachelor's,Medium,Yes,3.74,4.4
Miranda Gross,Male,3/16/1980,Rajarata University,4th,3.78,Kinesthetic,7.88,8,Other,Medium,Yes,5,5.22
Stephanie Hardy,Male,3/3/2019,University of Jaffna,4th,2.62,Auditory,5.67,6,Bachelor's,Low,Yes,4.61,8.01
Tammie Duran,Male,3/7/1934,University of Colombo,4th,2.54,Visual,29.99,9,Bachelor's,Low,No,2.61,8.71
Sean Lopez,Female,9/1/1908,University of Colombo,4th,2.04,Kinesthetic,25.55,5,Master's,High,Yes,0.62,9.16
Jennifer Long,Male,9/21/2006,Eastern University,2nd,2.46,Visual,15.26,9,Other,Low,No,1.65,7.01
Jeffrey Key,Female,7/20/1978,University of Ruhuna,2nd,2.7,Kinesthetic,21.98,4,Master's,High,No,0.58,9.72
Nancy Day,Female,5/1/1923,University of Colombo,3rd,3.15,Auditory,28.7,7,High School,High,No,0.46,4.75
Arthur Cantu,Male,4/19/1937,University of Moratuwa,3rd,2.26,Auditory,17.4,4,High School,Low,No,1.42,9.06
April Bartlett,Male,10/3/2017,Sabaragamuwa University,4th,3.6,Kinesthetic,29.97,10,High School,Low,No,4.63,6.55
Annette Moore,Male,11/8/1974,Sabaragamuwa University,4th,2.5,Visual,9.77,2,Other,Medium,No,3.31,9.46
David Orr,Female,2/15/1972,Eastern University,1st,3.49,Kinesthetic,17.46,8,Ph.D.,High,No,4.02,5.45
Joshua Coleman,Male,4/24/1997,Rajarata University,4th,2.62,Visual,20.83,1,Ph.D.,Low,No,4.62,5.27
David Edwards,Female,6/10/2012,University of Colombo,1st,3.26,Kinesthetic,24.03,2,High School,High,Yes,0.62,4.49
Dustin Franklin,Male,2/26/1953,University of Jaffna,2nd,2.91,Kinesthetic,5.8,4,Bachelor's,High,Yes,0.02,9.14
Timothy Palmer,Male,7/15/2003,University of Peradeniya,4th,2.09,Kinesthetic,26.15,9,Master's,High,Yes,0.73,4.57
Jennifer Simon,Female,9/15/2008,Sabaragamuwa University,2nd,3.34,Kinesthetic,13.22,10,Other,Medium,Yes,4.42,5.43
Miranda Sanford,Female,9/6/2018,Eastern University,4th,2.03,Kinesthetic,10.61,9,High School,Medium,Yes,1.83,6.04
Bradley Yates,Female,8/15/1963,Rajarata University,2nd,3.11,Auditory,26.01,9,High School,Low,No,1.2,7.58
Allison Vasquez,Male,6/10/2011,University of Kelaniya,2nd,3.73,Auditory,24,2,Ph.D.,Low,No,2.89,8.53
Tiffany Bailey,Male,5/25/2003,Eastern University,1st,3.02,Auditory,7.9,1,Other,Medium,No,4.92,6.61
Jeremy Manning,Male,5/15/1962,University of Jaffna,3rd,3.93,Auditory,19.77,3,Other,High,No,3.18,6.74
Karen Lopez,Male,3/4/1991,University of Peradeniya,4th,3.68,Visual,13.24,10,Bachelor's,Medium,No,3.86,6.79
Allison Kelly,Female,7/23/1923,Sabaragamuwa University,1st,3.65,Visual,26.2,6,Master's,Medium,Yes,2.62,7.3
Austin Davis,Male,4/2/1994,University of Ruhuna,2nd,3.15,Kinesthetic,18.17,8,Ph.D.,Low,Yes,3.48,8.97
Jody Anderson,Male,11/8/1953,Sabaragamuwa University,1st,3.88,Auditory,15.69,9,Other,Medium,No,1.12,4.67
Emily Alexander,Female,12/6/2003,University of Kelaniya,4th,3.65,Visual,16.2,9,Ph.D.,High,Yes,0.67,8.35
Brittany Patton,Male,11/29/1947,University of Kelaniya,4th,3.42,Auditory,11.46,3,Ph.D.,Medium,No,4.28,8.74
Katherine Fletcher,Male,5/29/2000,Sabaragamuwa University,2nd,3.91,Visual,14.32,3,Ph.D.,Low,No,3.63,5.53
Wendy Rowe,Male,7/19/1941,University of Ruhuna,4th,2.27,Kinesthetic,24.41,4,Bachelor's,Low,Yes,2.24,4.69
Jorge Long,Female,9/29/1965,Eastern University,4th,3.39,Kinesthetic,6.14,4,Other,Medium,Yes,4.77,5.83
Stephanie Davis,Female,12/19/1953,University of Ruhuna,2nd,3.09,Visual,10.1,6,Ph.D.,Low,No,3.32,6.78
Kathy Thomas,Male,6/22/2023,University of Colombo,4th,2.69,Kinesthetic,11.21,9,Master's,Medium,Yes,2.69,5.11
Cheyenne Johnson,Male,11/11/1935,Sabaragamuwa University,2nd,2.09,Auditory,16.25,7,Ph.D.,High,No,2.21,8.72
Kenneth Williams,Female,7/27/2005,Sabaragamuwa University,3rd,2.03,Auditory,27.87,3,Ph.D.,Low,Yes,4.86,5.42
Kristine Hart,Female,8/10/2001,University of Ruhuna,2nd,2.81,Auditory,24.29,4,Other,Medium,No,0.08,4.22
Howard Anderson,Male,9/18/2017,University of Moratuwa,1st,2.18,Kinesthetic,12.34,5,Bachelor's,Low,No,3.55,6.36
Jacob Rivera,Female,4/2/1988,University of Moratuwa,3rd,3.73,Kinesthetic,11.77,3,High School,High,Yes,2.28,8.57
Lori Rodriguez,Female,6/30/1965,University of Jaffna,2nd,3.57,Kinesthetic,17.21,3,Ph.D.,Low,Yes,1.99,4.35
Whitney Diaz,Female,2/17/2017,University of Moratuwa,4th,3.04,Kinesthetic,26.38,4,Bachelor's,Low,No,1.83,9.1
Mary Alvarez,Female,4/9/1912,University of Kelaniya,3rd,2.51,Auditory,27.82,5,High School,Low,Yes,0.02,5.74
